Connection Order (chronological):
Step | Box1 | Box2 | Distance^2
 393 |  202 |  263 | 36696753
 394 |   14 |  597 | 36718331
 395 |  649 |  753 | 36772742
 396 |   59 |  199 | 36862241
 397 |  126 |  895 | 36964169
 398 |  838 |  925 | 37048746
 399 |  286 |  537 | 37270314
 400 |  410 |  649 | 37294386
 401 |  442 |  860 | 37330019
 402 |  745 |  853 | 37356801
 403 |  175 |  216 | 37547450
 404 |  116 |  879 | 37551182
 405 |   51 |  398 | 37585009
 406 |   17 |  813 | 37585160
 407 |   92 |  642 | 37856997
 408 |  615 |  983 | 37902266
 409 |  687 |  943 | 37935717
 410 |  413 |  578 | 37964621
 411 |  314 |  548 | 38090306
 412 |  434 |  793 | 38094630
 413 |  325 |  364 | 38160774
 414 |  180 |  613 | 38203236
 415 |  540 |  703 | 38384366
 416 |  437 |  762 | 38439509
 417 |   60 |  562 | 38510162
 418 |  164 |  408 | 38697045
 419 |  568 |  580 | 38775777
 420 |   15 |  622 | 38830789
 421 |  237 |  654 | 38840761
 422 |  214 |  996 | 38865336
 423 |  290 |  533 | 38926896
 424 |   52 |  525 | 38983378
 425 |  300 |  683 | 39035891
 426 |  293 |  770 | 39115830
 427 |    0 |  103 | 39168026
 428 |  512 |  807 | 39243886
 429 |   41 |  452 | 39310401
 430 |  430 |  867 | 39311981
 431 |  117 |  312 | 39579537
 432 |  837 |  895 | 39806161
 433 |  383 |  565 | 39882909
 434 |  568 |  607 | 39889825
 435 |  291 |  370 | 39968176
 436 |  193 |  427 | 40026125
 437 |  350 |  878 | 40072913
 438 |  258 |  869 | 40086325
 439 |   56 |  507 | 40107281
 440 |  522 |  947 | 40143091
 441 |  523 |  884 | 40236377
 442 |   88 |  638 | 40243686
 443 |  518 |  582 | 40276225
 444 |  650 |  847 | 40357686
 445 |  230 |  463 | 40409201
 446 |  468 |  779 | 40430434
 447 |    1 |  116 | 40436049
 448 |  381 |  397 | 40537645
 449 |  550 |  743 | 40797117
 450 |  385 |  484 | 40816134
 451 |  502 |  918 | 40853870
 452 |  112 |  721 | 40946066
 453 |   60 |  620 | 40956997
 454 |  128 |  757 | 40999190
 455 |  138 |  737 | 41032241
 456 |  480 |  802 | 41295557
 457 |  145 |  464 | 41688477
 458 |  310 |  725 | 41746444
 459 |  367 |  500 | 41774013
 460 |  744 |  884 | 41785457
 461 |  248 |  436 | 41844515
 462 |  791 |  826 | 42086835
 463 |  309 |  876 | 42087878
 464 |  169 |  843 | 42092073
 465 |  436 |  965 | 42208149
 466 |  118 |  638 | 42378979
 467 |  102 |  790 | 42541661
 468 |  178 |  995 | 42601710
 469 |  347 |  930 | 42636770
 470 |  555 |  989 | 42640881
 471 |  250 |  453 | 42654841
 472 |  116 |  424 | 42656769
 473 |  125 |  826 | 42733662
 474 |  129 |  598 | 42860235
 475 |  488 |  641 | 42973934
 476 |  209 |  488 | 43043114
 477 |  507 |  947 | 43071806
 478 |  293 |  355 | 43092571
 479 |  360 |  493 | 43101518
 480 |   97 |  283 | 43227910
 481 |  165 |  389 | 43440921
 482 |  365 |  442 | 43504774
 483 |  101 |  744 | 43507816
 484 |  195 |  821 | 43580773
 485 |  220 |  421 | 43638122
 486 |  310 |  799 | 43655659
 487 |  259 |  857 | 43827746
 488 |   82 |  293 | 43898554
 489 |   10 |  862 | 44080409
 490 |  198 |  328 | 44132713
 491 |  476 |  988 | 44266717
 492 |   58 |  833 | 44289778
 493 |   90 |  215 | 44372362
 494 |  655 |  993 | 44589025
 495 |  388 |  724 | 44610947
 496 |  289 |  816 | 44732018
 497 |  169 |  918 | 44842475
 498 |  254 |  886 | 44931017
 499 |  305 |  471 | 44962554
 500 |  425 |  868 | 44967765
 501 |  259 |  569 | 45125731
 502 |  317 |  757 | 45139930
 503 |  180 |  448 | 45217121
 504 |  640 |  709 | 45363974
 505 |   91 |  559 | 45397128
 506 |  551 |  561 | 45540093
 507 |  703 |  856 | 45638573
 508 |  321 |  700 | 45661578
 509 |  300 |  930 | 45787668
 510 |  662 |  958 | 45797474
 511 |   11 |  480 | 45809933
 512 |  162 |  212 | 45844025
 513 |  115 |  178 | 45857678
 514 |  519 |  756 | 45918681
 515 |  494 |  830 | 46007722
 516 |  273 |  689 | 46030578
 517 |  274 |  491 | 46124454
 518 |  177 |  378 | 46248834
 519 |  279 |  315 | 46445406
 520 |   23 |  545 | 46512980
 521 |  753 |  852 | 46550474
 522 |   89 |  936 | 46819214
 523 |  247 |  668 | 46848401
 524 |  405 |  588 | 46898709
 525 |  256 |  505 | 46901126
 526 |  288 |  811 | 46967729
 527 |   15 |  803 | 47023125
 528 |  155 |  327 | 47074184
 529 |  119 |  874 | 47193494
 530 |  655 |  721 | 47386310
 531 |  604 |  899 | 47399221
 532 |  149 |  986 | 47437673
 533 |  261 |  536 | 47486441
 534 |   45 |  315 | 47579444
 535 |  829 |  996 | 47789478
 536 |  510 |  575 | 47872680
 537 |   41 |  778 | 47905770
 538 |   37 |   76 | 48016754
 539 |  722 |  938 | 48038184
 540 |  137 |  361 | 48040500
 541 |  141 |  706 | 48174442
 542 |  429 |  758 | 48388748
 543 |   52 |  287 | 48442949
 544 |  251 |  800 | 48477950
 545 |  795 |  839 | 48500873
 546 |  214 |  498 | 48532677
 547 |  106 |  666 | 48593613
 548 |  117 |  759 | 48675336
 549 |  118 |  569 | 48698081
 550 |  126 |  330 | 49035861
 551 |  397 |  941 | 49154413
 552 |  221 |  228 | 49217458
 553 |  700 |  973 | 49254498
 554 |  568 |  939 | 49262126
 555 |  634 |  682 | 49367286
 556 |   29 |  987 | 49411970
 557 |  254 |  726 | 49619441
 558 |  723 |  901 | 49623866
 559 |  102 |  941 | 49624929
 560 |  588 |  718 | 49679969
 561 |  331 |  598 | 49757501
 562 |  241 |  498 | 49856102
 563 |   93 |  632 | 50022701
 564 |   20 |  770 | 50199290
 565 |  379 |  586 | 50251834
 566 |  251 |  268 | 50276010
 567 |  470 |  921 | 50322949
 568 |   53 |  600 | 50506013
 569 |  372 |  716 | 50608350
 570 |  579 |  993 | 50657333
 571 |  258 |  337 | 50674731
 572 |  593 |  642 | 50677334
 573 |  325 |  351 | 50880650
 574 |  260 |  883 | 50915706
 575 |  643 |  834 | 50921603
 576 |  250 |  763 | 51190854
 577 |  323 |  695 | 51400310
 578 |  102 |  981 | 51417378
 579 |  226 |  274 | 51507945
 580 |  350 |  759 | 51516637
 581 |  619 |  733 | 51524022
 582 |  842 |  976 | 51557465
 583 |  422 |  792 | 51641861
 584 |  558 |  832 | 51651726
 585 |  305 |  549 | 51674214
 586 |  775 |  814 | 51750520
 587 |  349 |  902 | 51859374
 588 |  324 |  383 | 51987117
 589 |   79 |  234 | 52098906
 590 |  524 |  630 | 52134342
 591 |  934 |  987 | 52300010
 592 |  392 |  666 | 52330254
 593 |  501 |  960 | 52330925
 594 |  197 |  246 | 52363445
 595 |  434 |  679 | 52410764
 596 |  154 |  725 | 52499380
 597 |   38 |  679 | 52534206
 598 |   68 |  750 | 52536457
 599 |  138 |  186 | 52667505
 600 |  280 |  888 | 52783709
 601 |    7 |  673 | 52834811
 602 |  754 |  851 | 53218133
 603 |    3 |  416 | 53229881
 604 |  163 |  514 | 53286805
 605 |  974 |  989 | 53421441
 606 |  255 |  748 | 53548121
 607 |   95 |  670 | 53552945
 608 |  161 |  793 | 53624401
 609 |  549 |  633 | 53625534
 610 |  557 |  602 | 53627161
 611 |  317 |  553 | 53631773
 612 |   33 |  693 | 53716289
 613 |  539 |  620 | 53930132
 614 |   28 |  761 | 54017761
 615 |  779 |  980 | 54027050
 616 |  749 |  780 | 54220161
 617 |  411 |  764 | 54260681
 618 |  431 |  699 | 54265913
 619 |  297 |  424 | 54275698
 620 |  374 |  560 | 54303318
 621 |  217 |  311 | 54442134
 622 |  366 |  534 | 54461598
 623 |  363 |  390 | 54485469
 624 |  361 |  583 | 54543553
 625 |  466 |  641 | 54553587
 626 |   49 |  683 | 54556886
 627 |  760 |  769 | 54559422
 628 |   18 |  246 | 54565572
 629 |  486 |  914 | 54633289
 630 |  603 |  786 | 54677113
 631 |  481 |  694 | 54714116
 632 |  276 |  557 | 54735062
 633 |  219 |  742 | 54755797
 634 |   28 |  845 | 54859467
 635 |  332 |  791 | 55113435
 636 |  113 |  797 | 55117697
 637 |    1 |  704 | 55167422
 638 |  430 |  577 | 55177902
 639 |   99 |  304 | 55224002
 640 |  114 |  443 | 55312669
 641 |  111 |  241 | 55460750
 642 |  474 |  953 | 55656838
 643 |  102 |  475 | 55756477
 644 |   55 |  424 | 55975598
 645 |   26 |  261 | 56042881
 646 |  361 |  954 | 56073661
 647 |  121 |  330 | 56177681
 648 |   68 |  323 | 56562841
 649 |  501 |  840 | 56595115
 650 |  425 |  859 | 56705364
 651 |  698 |  713 | 56901998
 652 |  623 |  939 | 56929576
 653 |  286 |  487 | 57206696
 654 |    7 |  274 | 57232485
 655 |  548 |  590 | 57272771
 656 |  685 |  774 | 57275880
 657 |  343 |  454 | 57418691
 658 |  253 |  438 | 57446125
 659 |  204 |  693 | 57470276
 660 |  524 |  685 | 57569748
 661 |  395 |  461 | 57590078
 662 |  323 |  430 | 57597190
 663 |  566 |  775 | 57622443
 664 |  834 |  963 | 57679538
 665 |  546 |  691 | 57694579
 666 |  454 |  717 | 57755924
 667 |  197 |  798 | 57788169
 668 |   65 |  112 | 57993566
 669 |   47 |  134 | 58071081
 670 |  236 |  527 | 58095970
 671 |  264 |  455 | 58113964
 672 |  532 |  738 | 58132130
 673 |  777 |  960 | 58225734
 674 |  255 |  662 | 58243604
 675 |  165 |  923 | 58383146
 676 |  665 |  983 | 58412701
 677 |  389 |  856 | 58649873
 678 |  535 |  642 | 58773614
 679 |  412 |  618 | 58933300
 680 |  175 |  818 | 58946353
 681 |  185 |  467 | 59066838
 682 |  313 |  588 | 59102289
 683 |   91 |  202 | 59231668
 684 |   50 |   99 | 59300597
 685 |  406 |  668 | 59343141
 686 |   66 |  341 | 59377837
 687 |   45 |  395 | 59548736
 688 |   66 |  187 | 59722872
 689 |  365 |  677 | 59830326
 690 |  108 |  474 | 59903281
 691 |  348 |  655 | 60041302
 692 |   19 |  723 | 60197472
 693 |  180 |  773 | 60376350
 694 |   59 |  850 | 60382196
 695 |  323 |  374 | 60705773
 696 |  126 |  520 | 60733496
 697 |   58 |  456 | 60749867
 698 |  200 |  266 | 60764462
 699 |  149 |  189 | 60936329
 700 |   26 |  244 | 60981378
 701 |   21 |  641 | 61075458
 702 |  485 |  852 | 61282649
 703 |  120 |  160 | 61590539
 704 |  307 |  359 | 62307929
 705 |  301 |  569 | 62774651
 706 |  184 |  845 | 62884841
 707 |  152 |  835 | 63001748
 708 |  121 |  587 | 63084614
 709 |  677 |  913 | 63092793
 710 |   12 |  873 | 63170109
 711 |  162 |  572 | 63171835
 712 |  391 |  485 | 63579142
 713 |    4 |  836 | 63584654
 714 |  680 |  716 | 63590458
 715 |  199 |  750 | 63623426
 716 |   64 |  210 | 63677509
 717 |   54 |  336 | 63791234
 718 |   83 |  505 | 63823818
 719 |   73 |  588 | 63950729
 720 |  472 |  807 | 64028582
 721 |  632 |  903 | 64043341
 722 |  338 |  917 | 64130622
 723 |  538 |  673 | 64133066
 724 |   54 |  908 | 64342278
 725 |  117 |  147 | 64422905
 726 |  147 |  938 | 64621070
 727 |  523 |  729 | 64672790
 728 |  517 |  831 | 64856126
 729 |  198 |  546 | 64946861
 730 |  222 |  268 | 64989337
 731 |   83 |  660 | 65265246
 732 |   27 |  335 | 65594974
 733 |  655 |  885 | 65726091
 734 |  290 |  955 | 65822411
 735 |  671 |  835 | 66277866
 736 |   19 |  320 | 66299252
 737 |  641 |  928 | 66338642
 738 |  123 |  599 | 66360601
 739 |  264 |  666 | 66402526
 740 |  439 |  513 | 66570714
 741 |   30 |  730 | 66724051
 742 |   14 |  817 | 66813080
 743 |  482 |  682 | 66844003
 744 |  414 |  660 | 67027066
 745 |   77 |   96 | 67180061
 746 |  462 |  739 | 67450235
 747 |   25 |  103 | 67549150
 748 |  121 |  333 | 67576985
 749 |  332 |  358 | 67821768
 750 |  380 |  953 | 67879510
 751 |  371 |  636 | 67891246
 752 |  344 |  760 | 68013252
 753 |  188 |  670 | 68101046
 754 |  529 |  716 | 68133978
 755 |  489 |  821 | 68165253
 756 |  130 |  994 | 68239659
 757 |  131 |  184 | 68300838
 758 |  230 |  321 | 68607053
 759 |  261 |  912 | 68960750
 760 |  573 |  576 | 68981637
 761 |  298 |  582 | 69037641
 762 |  232 |  269 | 69117890
 763 |  122 |  242 | 69153621
 764 |  450 |  915 | 69191410
 765 |  667 |  785 | 69478649
 766 |   83 |  863 | 69591990
 767 |  181 |  443 | 69721136
 768 |  329 |  810 | 69829761
 769 |  773 |  774 | 69986148
 770 |  259 |  948 | 70092309
 771 |  474 |  729 | 70321419
 772 |  320 |  626 | 70403128
 773 |  240 |  514 | 70404669
 774 |  663 |  970 | 70437353
 775 |  205 |  940 | 70595189
 776 |  663 |  890 | 70612286
 777 |  364 |  993 | 70699314
 778 |  118 |  735 | 71049893
 779 |  455 |  704 | 71096336
 780 |  765 |  872 | 71209259
 781 |  485 |  672 | 71305718
 782 |  390 |  675 | 71440848
 783 |  618 |  797 | 71474035
 784 |  432 |  686 | 71492260
 785 |   96 |  690 | 71543379
 786 |  734 |  919 | 71621902
 787 |  720 |  815 | 71706962
 788 |  472 |  711 | 71730881
 789 |  249 |  610 | 71818465
 790 |  186 |  979 | 72058067
 791 |  220 |  889 | 72060749
 792 |   44 |  423 | 72093667
 793 |  469 |  539 | 72102533
 794 |  112 |  936 | 72228246
 795 |  595 |  707 | 72358689
 796 |  122 |  815 | 72417765
 797 |  739 |  849 | 72725642
 798 |  113 |  675 | 72757114
 799 |  447 |  553 | 72837134
 800 |  687 |  946 | 73297626
 801 |  245 |  470 | 73660793
 802 |   69 |  278 | 73823830
 803 |  490 |  565 | 73833345
 804 |  565 |  910 | 73877298
 805 |  706 |  956 | 73923233
 806 |   40 |  892 | 73943365
 807 |   39 |  272 | 74004661
 808 |  203 |  724 | 74282058
 809 |  200 |  736 | 74294331
 810 |  281 |  849 | 74420242
 811 |  262 |  746 | 74431106
 812 |  108 |  697 | 74573813
 813 |  398 |  590 | 74704913
 814 |  231 |  978 | 74767915
 815 |  281 |  728 | 74774826
 816 |  204 |  543 | 74829766
 817 |  231 |  308 | 74852795
 818 |   71 |  171 | 75084754
 819 |  715 |  939 | 75196820
